source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot
405399562185693440,757256873,24.96558589817728,48.72161252859199,0.37911056371328516,0.03844775,9.86041,-1.2222352808220776,0.036471687,-2.720375645870474,0.039412133,31,,,0,0,1.0208373,2350.9954,9.297181,925.735,9.266331,1275.9185,9.30615,1.1635913,-0.039819717,,,,,,,VARIABLE,131.1081398800909,-13.379869952885947,false,false,0,true,true,false,true,false,false,true,false,,,,,,
2061049943735688704,1316805591,304.7229386877829,37.84268810260341,0.5099943059434022,0.01722636,29.605457,-2.6670507061531454,0.017245153,-5.313908490967651,0.019345671,31,,,26,0,0.9974291,2905.5579,8.306414,940.67523,8.539462,973.3585,7.8399577,1.2319626,0.6995044,-16.712952,3.129776,18,243.03079,1.6112076,0.051450428,VARIABLE,75.79197970155619,1.03229539420871,false,false,0,true,true,false,true,false,true,true,false,20983.248,3.289,0.2674,1499.971,1.9113,1.0449
2061242908036996352,1156265188,304.4466538791861,38.032900101431466,0.6250835571020142,0.07292023,8.572155,-3.7234019362864785,0.068918176,-6.797970269219623,0.082478404,31,,,0,0,0.92444533,455.22366,4.5663805,216.90805,4.8183537,155.73817,4.1391163,1.1989204,0.67923737,,,,,,,VARIABLE,75.82676096601502,1.3194392763609224,false,false,0,true,true,false,true,false,false,true,false,,,,,,
2061261324856936960,1186433662,304.3448288082534,38.23565044814441,0.46487100384925767,0.037250545,12.479576,-2.824282359078925,0.037805595,-5.059175540686126,0.041615702,31,,,0,0,2.0261564,1993.4619,6.8624883,622.204,7.092116,473.7891,6.4513664,1.2016703,0.64074945,-1.4105997,3.5527003,22,540.77374,28.00864,0.0,VARIABLE,75.94979927137229,1.4994203219046014,false,false,0,true,true,false,true,false,true,true,false,18202.553,2.3977,-0.2381,3171.6382,1.6729,0.9157
2061089113838868480,962630812,304.9114279316515,38.33586105886695,0.554608562746142,0.012822211,43.25374,-3.668294035318535,0.014007554,-5.966806506238482,0.013776392,31,,,0,0,0.92267084,1063.1364,8.530432,142.81097,8.829389,143.28221,8.089315,1.1825798,0.7400732,,,,,,,VARIABLE,76.2829382102325,1.1881075855113616,false,false,0,true,true,false,true,false,false,true,false,,,,,,
2061291595788070656,1372579398,304.8850825923865,38.73163867429083,0.7232218311347729,0.016104177,44.908962,-2.26264049274829,0.015700415,-3.738020429668275,0.018425087,31,,,0,0,0.9756919,889.2877,7.7687335,305.03436,8.073058,422.3978,7.2622523,1.2190747,0.8108058,,,,,,,VARIABLE,76.59796411586228,1.4286802152794968,false,false,0,true,true,false,true,false,false,true,false,,,,,,
408428373125204992,160980945,27.33791358565134,53.87496812552704,0.1715473837763968,0.036483485,4.702056,-0.8915320753107481,0.044555236,-1.926586739096373,0.034915574,31,,,0,0,1.1056427,2005.7451,9.157505,752.6168,9.085536,923.30133,9.242974,1.1639878,-0.15743828,-117.533875,18.1464,9,83.39975,-0.62236506,0.79453325,VARIABLE,131.49258729421356,-8.031397045134069,false,false,0,true,true,false,true,false,true,true,false,26034.988,3.8961,-0.9742,2259.0417,0.4536,0.2462
408428682362836480,1744385006,27.414972215840788,53.91466809088843,0.20778388081106022,0.049401183,4.206051,-1.2190312807333161,0.051173944,-1.6626133827795382,0.044213112,31,,,0,0,1.4059157,1820.1426,8.972483,973.4646,8.916423,1296.4791,9.022533,1.1656178,-0.10611057,,,,,,,VARIABLE,131.52823188075035,-7.982487792800467,false,false,0,true,true,false,true,false,true,true,false,24760.545,3.7497,0.0012,2517.0083,0.5289,0.287
406080675279799808,928100073,27.130048803213636,51.122551071171756,0.1965159727659615,0.02642307,7.4372873,-2.4592918356959332,0.022501184,-1.2087968769712822,0.021938814,31,,,0,0,1.0609044,478.68924,9.894137,163.28177,9.9438095,112.267235,9.747126,1.1747546,0.19668388,,,,,,,VARIABLE,131.9924510979507,-10.742231999924504,false,false,0,true,true,false,true,false,false,true,false,,,,,,
1908368597999299840,819618056,338.9678338959033,39.63430712684807,1.8914016259345756,0.09142906,20.687096,-1.888322655102085,0.10631179,-5.069819087136419,0.091071405,31,,,0,0,1.4803789,1128.3073,5.679723,856.9911,5.596197,629.06604,5.8243184,1.1516594,-0.22812128,,,,,,,VARIABLE,96.37552331905964,-16.14608237170627,false,false,0,true,true,false,true,false,true,true,false,18708.066,3.7556,0.4085,403.7236,0.1574,0.085
3429594302836540544,967817101,89.53376085399198,25.501399355294403,0.1654162148429832,0.018743455,8.825278,0.40145343536962397,0.019325921,1.0250891514859852,0.013398447,31,,,0,0,0.8793425,364.0329,11.238818,113.709305,11.600235,116.58819,10.693564,1.2154065,0.9066706,,,,,,,VARIABLE,184.37326885125364,0.6400473955292313,false,false,0,true,true,false,true,false,true,true,false,22804.262,3.7129,0.1114,2832.7222,2.3417,1.2839
3427962936819149824,622128767,89.23383158385656,24.24968210795231,0.5311144968916315,0.03226936,16.458786,0.8872203943404681,0.04104573,-1.4974456586954141,0.024632204,31,,,0,0,0.93336475,881.5828,5.8762817,243.37144,6.106418,151.32094,5.4494615,1.2103474,0.6569567,3.093605,1.0203748,12,650.97906,,0.0,VARIABLE,185.3203467477195,-0.2224510149635147,false,false,0,true,true,true,true,false,false,true,false,,,,,,
1862325719653172736,524311627,309.15479701055824,30.78985686136292,0.4576345765467365,0.013948964,32.80778,-2.749317647200555,0.011970417,-5.560430238272451,0.014017391,31,,,0,0,0.9116535,3556.2563,9.171778,1492.4865,9.272598,2327.3115,8.944723,1.1797487,0.32787514,,,,,,,VARIABLE,72.17563403422419,-6.043173710556527,false,false,0,true,true,false,true,false,true,true,false,24391.34,3.4746,0.0074,2889.9243,1.3182,0.7191
2216129977157816960,1013690155,322.66973340943605,61.83697514387143,0.7251002839917249,0.02088163,34.724316,-4.228233779015426,0.02216112,-4.4072478825121655,0.021624947,31,,,0,0,0.8983754,470.07748,8.157297,156.6684,8.320173,135.87479,7.8544474,1.180548,0.4657259,,,,,,,VARIABLE,101.47419724526347,7.646333190585527,false,false,0,true,true,false,true,false,false,true,false,,,,,,
2216195157578923136,1020622521,324.4800815259345,62.08192269169192,1.025146214666492,0.10439979,9.8194275,-2.0073931496450634,0.13145818,-4.292918280270064,0.097451024,31,,,0,0,0.9830176,504.31915,4.6535788,294.921,4.8244667,123.21216,4.34675,1.1780022,0.47771692,-14.138308,1.0188638,12,1038.6094,,0.0,VARIABLE,102.27127520090743,7.246900516486804,false,false,0,true,true,false,true,false,false,true,false,,,,,,
2929814075578064000,6372223,110.31135507691556,-20.770387013978652,0.33107621054050007,0.019933864,16.608732,-2.3960067216154153,0.016345395,3.268483359677927,0.020145087,31,,,0,0,1.1400846,369.20697,9.23435,124.29966,9.293506,124.61898,9.080743,1.1716671,0.21276283,,,,,,,VARIABLE,234.73656376523445,-3.0827807367209417,false,false,0,true,true,false,true,false,false,true,false,19948.645,3.6465,0.2427,1835.6722,1.0088,0.548
2929656158218040448,576932681,110.14767262045055,-21.228697119352393,0.3959660785847364,0.013849381,28.590885,-2.619625007457638,0.013933692,3.1724975371889315,0.014716804,31,,,0,0,0.8697627,223.7907,9.261296,107.10857,9.399545,56.367817,8.962336,1.1928793,0.43720913,,,,,,,VARIABLE,235.07086199485227,-3.4320730359321994,true,false,0,true,true,false,true,false,true,true,false,37489.016,4.1321,-0.9775,1973.9255,1.7365,0.954
3049168983344995584,1567780611,104.28909601689735,-10.824463330759077,0.8770058825877977,0.02510244,34.937077,-0.5253310234620232,0.022963386,-0.1693976808088944,0.022141516,31,,,0,0,1.1621743,546.7985,6.6814837,241.41257,6.949585,139.88808,6.1958795,1.2248833,0.7537055,,,,,,,VARIABLE,223.22472009544555,-3.659385316691906,false,false,0,true,true,false,true,false,false,true,false,,,,,,
2929720514010460544,1699008167,109.3686290827725,-21.06667850040419,0.2666379949354109,0.023923567,11.1454115,-2.1799017381944163,0.021258451,3.1200940917753326,0.021598505,31,,,0,0,1.1498562,1016.50934,9.845125,434.11404,9.912165,398.0105,9.685911,1.1692086,0.22625351,,,,,,,VARIABLE,234.58866528795704,-4.000077131767285,false,false,0,true,true,false,true,false,false,true,false,,,,,,
1868047509447500032,734281060,317.4712274377888,35.49163278346793,0.314166485029692,0.0334909,9.380652,0.6199184935085689,0.028663961,-5.410387330375092,0.03333308,31,,,0,0,1.0986035,2508.1821,9.066717,1196.9834,8.968335,1634.0776,9.214605,1.1613342,-0.24627018,,,,,,,VARIABLE,80.28733367594849,-8.445070914848705,false,false,0,true,true,false,true,false,true,true,false,28464.98,3.9313,-0.9883,2624.2065,0.3394,0.1843
3039336905549563776,442386970,119.4555836493532,-8.83746381447323,0.16327496671854191,0.04310183,3.7881217,-0.44419631107004875,0.044903517,2.6595432104716945,0.034037594,31,,,0,0,1.0573913,1094.3074,9.691168,339.4602,9.582787,421.58105,9.871804,1.1577667,-0.28901768,,,,,,,VARIABLE,228.58953099601214,10.435569314173287,false,false,0,true,true,false,true,false,true,true,false,25008.877,4.0898,-0.6427,2377.76,0.191,0.1034
3037534363613764224,1718027998,117.29783733379865,-10.333413315022543,0.32835496517668894,0.032048907,10.245435,-2.5578446677545994,0.0333231,1.7446217508268904,0.027994826,31,,,19,0,1.2360318,1801.8198,9.733484,881.6824,9.732641,1045.3317,9.653731,1.1787989,0.078909874,66.601715,2.9775681,8,64.725235,0.13104393,0.49593988,VARIABLE,228.83782886948845,7.84631152793673,false,false,0,true,true,true,true,false,true,true,false,11374.681,3.388,0.2034,1785.4418,0.3806,0.204
4237423603350413568,1165618246,300.63618608937327,0.7138755069339481,0.10461399984880981,0.017795216,5.8787713,-2.534731173721398,0.018703967,-6.297515309398015,0.013284996,31,,,0,0,1.1329855,194.08017,10.957938,48.939735,11.343516,84.56498,10.367882,1.2332653,0.9756346,44.47613,1.8305537,15,62.712265,17.288092,0.0,VARIABLE,41.90155906694649,-15.427474206483328,false,false,0,true,true,false,true,true,false,true,false,,,,,,
5720730244520720768,1527519522,122.23227636272117,-17.685846163071567,0.12878388574713884,0.040094815,3.2119834,1.1866300649028225,0.041169126,1.1209338623062872,0.031059204,95,1.794435,0.0076048067,0,0,1.0710276,1885.9509,10.566165,1167.6312,10.491126,3432.1323,10.67192,1.1589806,-0.18079376,,,,,,,VARIABLE,237.68897264161922,8.206479558871402,false,false,0,true,true,false,true,false,true,true,false,23719.908,3.9703,0.0048,3740.0828,0.373,0.202
2235411322294085376,1744260643,295.7274105653865,58.05217027612346,0.05664208270680261,0.015126711,3.7445076,-1.8974182642265645,0.019763742,-2.6252820276315463,0.020371063,31,,,0,0,1.0020483,1772.1444,13.592056,1178.4874,13.610839,1380.9049,13.557883,1.1471729,0.052955627,,,,,,,VARIABLE,90.4056672243059,16.381806507301857,false,false,0,true,true,false,true,false,false,true,false,,,,,,
1709405268801138944,43632319,246.3494190953582,79.26469453894397,0.36313015635761875,0.028777977,12.618335,-0.8835055750333238,0.037594438,-4.156531199124491,0.037410043,31,,,0,0,1.0982443,409.3728,9.514977,172.34302,9.439526,121.25221,9.626832,1.1571364,-0.1873064,,,,,,,VARIABLE,112.63240803082532,33.136554526167295,false,false,0,true,true,false,true,false,false,true,false,9999.094,2.2241,-1.8562,7746.1816,2.0E-4,1.0E-4
2010065383399085056,1543245862,345.5197126455065,57.54611133691908,0.30639809371076954,0.012822478,23.895388,-1.9798027085181784,0.012615335,-2.3346537715446685,0.012245636,31,,,0,0,0.9104587,1123.0149,9.578834,354.0843,9.781915,376.8613,9.209647,1.1929089,0.57226753,,,,,,,VARIABLE,108.65291421847624,-2.2620037244562874,false,false,0,true,true,false,true,false,true,true,false,18868.682,3.346,0.1933,2260.3853,1.6305,0.8886
2010254911712961280,854725564,345.9033187942429,58.30972703375691,0.3425374231061528,0.012874249,26.6064,-4.002408037859079,0.012113589,-3.606320658529097,0.011735937,31,,,0,0,0.92769897,2329.676,9.624811,805.8174,9.865317,912.1623,9.20694,1.1996514,0.65837765,,,,,,,VARIABLE,109.14960000724332,-1.6470358787828852,false,false,0,true,true,false,true,false,true,true,false,19771.217,3.293,0.2683,2531.7993,1.824,0.996
429927879906030336,721042519,1.01579589766317,62.221939010522874,0.3404858062456732,0.019393092,17.557066,-1.5073439715489947,0.018511832,-1.7976858705156022,0.018683672,31,,,0,0,0.94140273,1145.9,8.087064,416.944,8.223518,427.29648,7.7917523,1.1920747,0.43176603,,,,,,,VARIABLE,117.44301209414022,-0.14386915878096468,true,false,0,true,true,false,true,false,false,true,false,,,,,,
2166348110749083520,1717904293,312.2345339835501,46.11412316200807,0.543468503480708,0.078219876,6.947959,-2.2331070839068348,0.07990467,-2.5163614377618164,0.07911794,31,,,1,0,1.040687,649.60156,4.673104,262.9158,4.9142327,144.18303,4.272566,1.1895219,0.6416669,,,,,,,VARIABLE,85.75350931426728,1.4900296003691564,false,false,0,true,true,false,true,false,false,true,false,,,,,,
2166846047768767488,905321288,313.95750211059317,47.41763849332711,0.3915125977927643,0.040135734,9.754714,-2.198924885863453,0.042766,-4.094842769393781,0.04625917,31,,,0,0,0.9037924,703.20306,5.531616,241.41376,5.803691,232.0426,5.065173,1.211297,0.73851776,,,,,,,VARIABLE,87.51081160048889,1.4153310921221758,false,false,0,true,true,false,true,false,true,true,false,15024.623,2.2109,-0.8958,1377.8438,1.7219,0.9419
4145606857669163264,1087564552,273.114945921567,-16.380685605199755,0.6503232190147334,0.045259878,14.368648,0.1003084466776192,0.0503782,-0.6837640678503714,0.038223587,95,1.6807916,0.009698303,0,0,0.8840596,1634.4358,7.441458,1065.8381,7.5122194,1136.9287,7.262586,1.1757812,0.24963331,,,,,,,VARIABLE,13.961560270527944,0.9124898870265316,false,false,0,true,true,false,true,false,true,true,false,18698.662,3.3393,0.2385,1105.7916,1.0583,0.5743
3112550812164329856,254975967,105.47339547677022,-1.1309513289734856,0.5170550855402031,0.01868078,27.678453,-3.3585527964781727,0.021439923,1.9365439890636145,0.019066375,31,,,1,0,1.2068065,213.48625,8.472794,54.006832,8.809228,78.28067,7.9395237,1.2198716,0.86970425,57.203323,2.3702965,8,158.61171,33.94707,0.0,VARIABLE,215.13128221603887,1.8097326457826508,false,false,0,true,true,false,true,true,true,true,false,6461.619,2.214,-0.285,1559.1564,0.5192,0.2797
1821367129145103360,1373309378,298.7227761717907,18.23390463871323,0.1439926200977307,0.020455074,7.039458,-1.8127768104469584,0.017527949,-5.114440128673874,0.017252209,31,,,0,0,0.8847123,199.575,10.403236,71.446175,10.445502,71.17551,10.237464,1.1878972,0.20803833,,,,,,,VARIABLE,56.411060034481125,-5.070457363075789,false,false,4,true,true,false,true,false,false,true,false,,,,,,
460625282472690048,450793287,42.94916079464163,57.048460292756516,0.349479332673408,0.0203977,17.133272,0.2797933489014752,0.018941203,-0.803039550050503,0.02404502,31,,,0,0,0.9752657,1550.093,8.246119,563.41895,8.617043,677.68567,7.678066,1.2256323,0.93897676,,,,,,,VARIABLE,138.76768540550486,-2.0760199024461827,false,false,0,true,true,false,true,false,false,true,false,17651.432,2.6165,-0.8159,2622.769,2.2218,1.2194
2004561365640128768,852512104,333.71115217944896,53.35326590968537,0.26880735118091326,0.02473773,10.86629,-3.269902415309806,0.027425524,-3.476610012021323,0.026013764,95,1.6485521,0.0060616178,1,0,0.9159885,1644.4164,9.711688,548.91394,9.845614,575.7718,9.442387,1.1804878,0.4032278,,,,,,,VARIABLE,100.76975177881079,-2.643154875991675,false,false,0,true,true,false,true,false,true,true,false,18148.213,3.368,0.1949,2522.1814,1.3163,0.7152
2004595622298541696,319415781,332.70723934660515,53.26460493820137,0.2612049702578264,0.025702389,10.162672,-3.7977085222578943,0.027593317,-3.523150605097052,0.026286846,95,1.6821076,0.005994886,1,0,0.937539,2040.9355,9.907199,922.07965,9.981009,1091.415,9.731521,1.172418,0.24948788,,,,,,,VARIABLE,100.22533613667709,-2.37512456939993,false,false,0,true,true,false,true,false,true,true,false,20082.744,3.4347,0.0178,3285.9119,1.0759,0.5843
1962385851929155328,785994323,334.7509780103666,45.802355215176455,0.5331667021197346,0.020779202,25.65867,-3.462963694791523,0.019794187,-3.619774738693593,0.021135822,31,,,0,0,0.8952039,481.4027,8.364789,171.73402,8.37188,133.96225,8.278989,1.1760453,0.09289074,,,,,,,VARIABLE,97.08640992801251,-9.281105381621302,false,false,0,true,true,false,true,false,true,true,false,35599.434,3.8447,4.0E-4,2813.112,1.0757,0.5882
4115444264430400640,1575479412,258.06758476997385,-21.468276367386217,0.06264409461274634,0.016112173,3.8879979,-4.563941967119548,0.018874796,-3.4263142193732796,0.012157959,31,,,0,0,0.9396809,2976.4517,13.265695,1462.2198,13.42166,2361.037,12.946482,1.1929823,0.47517872,,,,,,,VARIABLE,2.130431566526249,10.394071960062263,false,false,0,true,true,false,true,false,false,true,false,,,,,,
6870452273367422080,970197089,299.1686576713329,-17.921448435814774,0.42032353854568394,0.028280549,14.8626375,-3.0396485181416724,0.027578807,-9.631855927708926,0.016301377,31,,,0,0,1.0575331,2639.7466,9.344849,1032.5875,9.382653,1620.2665,9.228243,1.1690592,0.15441036,,,,,,,VARIABLE,23.480247196266347,-22.21680163420272,false,false,0,true,true,false,true,false,true,true,false,19035.691,3.5777,-0.4047,1975.8489,0.8658,0.4694
