Name,RA,Dec,Class,Gmag
LS  VI -09    6,106.78384347,-9.18626634,Hot,10.086738
NGC  2343    13,106.82802036,-10.61735112,Hot,10.893373500000001
TYC 5968-1887-1,107.02989242,-17.88442537,Hot,11.011083
BD-20  1742,107.15756614,-20.29358799,Hot,10.225937
TYC  171-2334-1,107.17664119,5.19115268,Hot,10.747033
TYC 4827-88-1,107.28404195,-6.19197576,Hot,10.439667
BD-14  1736,107.3796056,-14.99678625,Hot,10.125862
TYC 5964-207-1,107.61544482,-15.08287323,Hot,12.138669
BD-07  1791,107.82300387,-8.1794157,Hot,10.004703999999998
TYC 4823-1194-1,107.94077648,-4.13713659,Hot,8.107479
TYC 5402-1660-1,108.16252439,-12.54314086,Hot,9.977687
WISE J071255.83-235105.0,108.23264904,-23.85136309,Hot,12.776715
TYC 6524-728-1,108.36965981,-23.004199,Hot,11.069602
TYC 5973-97-1,108.41365766,-20.59757893,Hot,10.175912
TYC 5965-1343-1,108.49052393,-15.28942044,Hot,10.237877000000001
TYC 5406-525-1,108.73839195,-13.70028176,Hot,10.720628999999999
TYC 5394-430-1,108.83478395,-7.64509124,Hot,11.020975
TYC 5965-1477-1,108.93390442,-15.48483134,Hot,10.764766999999999
TYC 5399-1741-1,109.33439397,-9.59048998,Hot,11.579372
TYC 5399-1683-1,109.34674701,-9.97971887,Hot,10.193392
BD-07  1877,109.7332143,-7.61644041,Hot,9.819911
TYC 5973-1929-1,109.74031558,-19.28771446,Hot,9.566659
CPD-24  2240,109.74349817,-24.96138221,Hot,10.722494000000001
TYC 5965-1016-1,109.76638835,-15.63904782,Hot,10.74393
TYC 5965-1875-1,109.76866687,-16.0295476,Hot,10.36537
TYC 5965-1479-1,109.81346704,-15.12749146,Hot,9.939457
BD-21  1877,109.9120267,-21.83166553,Hot,9.909463
TYC 5395-4120-1,110.15884515,-9.01594835,Hot,9.5823145
TYC 5978-2179-1,110.2180135,-21.34495957,Hot,10.842983
CD-26  4243,110.42042651,-26.53179611,Hot,9.845132000000001
TYC 5978-3602-1,110.61846443,-21.7317778,Hot,9.778762
WISE J072238.19-213910.1,110.6591476,-21.65280044,Hot,12.8336735
TYC 5966-1-1,110.91805989,-15.0528239,Hot,10.275355000000001
TYC 5395-1529-1,110.95008871,-8.21145649,Hot,10.5958
TYC 5395-2905-1,111.05722808,-8.82499684,Hot,10.312031
TYC 5978-1870-1,111.47120431,-20.89217441,Hot,9.62544
WISE J072628.02-220513.7,111.61677357,-22.0871497,Hot,11.711217999999999
TYC 5974-3240-1,111.70799336,-20.0036757,Hot,11.529562
TYC 5400-3529-1,111.78821997,-11.23720666,Hot,10.870322
TYC 5404-2914-1,111.86034419,-11.29083467,Hot,11.318007000000001
TYC 5987-3087-1,112.16595497,-19.97537255,Hot,11.945945
WISE J072943.58-220021.2,112.43161206,-22.00591215,Hot,12.665774
BD-12  2021,113.26356409,-13.04307787,Hot,9.420478
TYC 5991-1262-1,113.54275556,-20.88625712,Hot,9.894601
BD-21  2028,113.97114505,-21.7154181,Hot,10.08866
WISE J073554.20-230822.3,113.97586032,-23.13955427,Hot,12.41052
TYC 5991-1010-1,113.99713414,-20.68632432,Hot,10.405437
TYC 5409-2739-1,113.99977332,-14.46858816,Hot,9.4805
TYC 5988-1518-1,114.04658917,-20.08609996,Hot,10.608746
TYC 5992-956-1,114.71591754,-21.50163304,Hot,10.092483999999999
TYC 5992-4017-1,114.7624164,-21.84562028,Hot,10.776997
TYC 5418-2560-1,114.93734512,-11.79679923,Hot,10.082828
TYC 5988-1978-1,115.05782822,-19.17065392,Hot,11.131289500000001
TYC 6544-820-1,115.14437765,-25.8316455,Hot,11.5286455
TYC 6548-2897-1,115.31219413,-26.84650081,Hot,10.285847
TYC 6544-1430-1,115.42836738,-25.42620433,Hot,10.749687
WISE J074209.58-191407.1,115.53992434,-19.23532464,Hot,11.05787
CD-25  4943,115.68011698,-25.32428254,Hot,10.673624
CD-23  6002,115.72602767,-23.69358182,Hot,10.393297
TYC 5414-2000-1,115.77888109,-9.7964971,Hot,10.940087
TYC 6548-3308-1,116.12069187,-26.66486667,Hot,10.128778
CD-26  4966,116.74932917,-26.56165956,Hot,9.960503
TYC 5981-1048-1,117.09978421,-16.58539091,Hot,10.836244
TYC 6557-3862-1,117.25488787,-25.58354363,Hot,10.856285
TYC 6557-2400-1,117.99682748,-24.7747438,Hot,10.955424
TYC 6557-910-1,118.25581116,-25.5001621,Hot,9.519933
TYC 6557-1493-1,118.46278386,-24.37987888,Hot,10.559109
BD-17  2218,118.54420374,-17.54446837,Hot,9.572636
CD-25  5279,118.92323214,-25.88529506,Hot,10.288691499999999
TYC 6558-2162-1,119.90167107,-26.00593492,Hot,10.774519
TYC 6558-560-1,120.79656806,-25.56167472,Hot,10.451833
TYC 6008-15-1,122.4286859,-22.31695661,Hot,10.823928
TYC 6005-886-1,124.98093463,-20.59671165,Hot,10.346478999999999
CD-24  6883,125.88182176,-24.69392677,Hot,9.70238
BD-14  4315,239.19382816,-14.47931074,Hot,10.173593499999999
BD-04  4012,239.5502297,-5.17998961,Hot,10.1125145
TYC 2576-1733-1,240.16367151,33.25102507,Hot,11.438717
BD-13  4399,244.77241082,-14.05800551,Hot,10.753091
TYC 2581-908-1,246.17135464,30.61099839,Hot,10.859355
TYC 6813-1429-1,253.19587021,-26.01095864,Hot,11.400613
TYC 6818-126-1,253.74633176,-26.56330996,Hot,10.996336999999999
WISE J165504.96-243724.2,253.77064883,-24.62342223,Hot,12.616213
TYC 6810-776-1,254.07339604,-23.77392659,Hot,11.315514
TYC 6233-1411-1,259.33856153,-16.05406301,Hot,10.921975999999999
WISE J172058.88-152201.1,260.24528948,-15.36701726,Hot,12.773381
TYC 6235-2001-1,263.99448042,-16.73225633,Hot,11.154327
