cntr_01,dist_x,pang_x,designation_01,source_id_01,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
2528,5.122665,1.862188,Gaia DR3 2005864493075923328,2005864493075923328,3.3366292496E+02,5.4909808889E+01,1836202400120935,333.6630054,54.9112311,1836,2,4,zr,0,0,0,0,1.797600E+01,1.410000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2529,0.075222,-14.580866,Gaia DR3 2005989455128321920,2005989455128321920,3.3572188538E+02,5.5878907078E+01,803110300001545,335.7218760,55.8789273,803,10,3,zg,293,292,559,557,1.235400E+01,1.500000E-02,2.266735E-07,1.30861,1.285210E-02,1.238138E+01,7.868767E-03,1.235104E+01,0.008914982,1.225378E+01
2530,4.961911,-25.800519,Gaia DR3 2005989459441089664,2005989459441089664,3.3571527077E+02,5.5875217693E+01,803110300078347,335.7142014,55.8764586,803,10,3,zg,0,0,0,0,1.829500E+01,2.420000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2531,7.099709,-38.125250,Gaia DR3 2005989562520308352,2005989562520308352,3.3573992876E+02,5.5880860608E+01,1836101200071538,335.7377580,55.8824120,1836,1,2,zg,0,0,0,0,1.781600E+01,1.290000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2532,6.047722,-135.856514,Gaia DR3 2006119407972993792,2006119407972993792,3.3452582876E+02,5.5904327127E+01,1836101200071475,334.5237417,55.9031216,1836,1,2,zg,0,0,0,0,1.715000E+01,2.230000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2533,4.861440,91.187526,Gaia DR3 2006219669688859776,2006219669688859776,3.3474944797E+02,5.6121890710E+01,1836101200071506,334.7518700,56.1218627,1836,1,2,zg,0,0,0,0,1.702000E+01,1.080000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2534,7.882001,-28.876881,Gaia DR3 2006219738408337280,2006219738408337280,3.3474424659E+02,5.6123178106E+01,1836101200071387,334.7423496,56.1250953,1836,1,2,zg,0,0,0,0,1.847600E+01,2.870000E-01,2.960000E-322,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2535,6.620030,96.862526,Gaia DR3 2006219978921880192,2006219978921880192,3.3468999630E+02,5.6126070869E+01,803111100063786,334.6932719,56.1258511,803,11,1,zg,0,0,0,0,1.607100E+01,1.310000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2536,4.857552,87.143424,Gaia DR3 2006221593834257920,2006221593834257920,3.3479047760E+02,5.6238958279E+01,803211100091752,334.7929026,56.2390255,803,11,1,zr,0,0,0,0,1.652300E+01,1.050000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2537,6.858647,79.711558,Gaia DR3 2005653524280214400,2005653524280214400,3.3198428755E+02,5.4518432171E+01,1806315100127151,331.9875171,54.5187724,1806,15,1,zi,3,2,3,2,1.732600E+01,2.470000E-01,7.413599E-07,0.0,3.152297E-01,1.844684E+01,0.000000E+00,1.813903E+01,0.03622314,1.781644E+01
2538,6.320581,134.807897,Gaia DR3 2006230218128669952,2006230218128669952,3.3507979468E+02,5.6387805730E+01,1836101200071465,335.0820448,56.3865684,1836,1,2,zg,0,0,0,0,1.788600E+01,6.400000E-02,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2539,0.119375,-6.234056,Gaia DR3 4180161033474768640,4180161033474768640,2.9484373586E+02,-1.6678698464E+01,336212300049582,294.8437321,-16.6786655,336,12,3,zr,344,330,379,352,1.285500E+01,1.200000E-02,3.217348E-07,1.073893,1.160812E-02,1.291475E+01,6.349564E-03,1.286897E+01,0.008766106,1.282888E+01
2540,6.648947,106.957918,Gaia DR3 4180208832169700864,4180208832169700864,2.9292370006E+02,-1.7230239016E+01,335105200055641,292.9255497,-17.2307777,335,5,2,zg,0,0,0,0,1.550700E+01,2.280000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2541,4.761383,132.567064,Gaia DR3 4301291141456218112,4301291141456218112,2.9426150885E+02,8.1642197819E+00,540101300129165,294.2624929,8.1633251,540,1,3,zg,0,0,0,0,1.777500E+01,2.740000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2542,7.849388,92.677070,Gaia DR3 4301429679916867968,4301429679916867968,2.9565771144E+02,9.2275033453E+00,541104200116831,295.6599180,9.2274015,541,4,2,zg,3,3,3,3,1.525400E+01,9.200000E-02,1.641757E-06,0.0,5.242304E-01,1.676209E+01,0.000000E+00,1.616336E+01,0.01819736,1.571735E+01
2543,null,null,Gaia DR3 4079558197792052352,4079558197792052352,2.7987598050E+02,-2.1965578128E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2544,6.175794,-70.642101,Gaia DR3 4261444943145854464,4261444943145854464,2.8844885115E+02,-1.8351816335E+00,437212300180169,288.4472318,-1.8346130,437,12,3,zr,0,0,0,0,1.610000E+01,1.700000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2545,4.558217,-115.847979,Gaia DR3 2034421726309284352,2034421726309284352,2.9969691399E+02,3.3651815639E+01,1727101300133311,299.6955451,33.6512636,1727,1,3,zg,0,0,0,0,1.618000E+01,2.680000E-01,6.948133E-310,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2546,0.110033,-11.870057,Gaia DR3 3253821426215252992,3253821426215252992,6.1722976887E+01,-4.3595471124E-01,405316300005387,61.7229706,-0.4359248,405,16,3,zi,54,16,64,18,1.189100E+01,1.900000E-02,4.362307E-07,0.9694066,1.461244E-02,1.191280E+01,9.724617E-03,1.187888E+01,0.01487272,1.183997E+01
2547,4.526302,87.933535,Gaia DR3 194963585070683136,194963585070683136,8.1184627835E+01,4.1665675975E+01,703210200055370,81.1863098,41.6657213,703,10,2,zr,0,0,0,0,1.734300E+01,7.300000E-02,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2548,0.053027,0.546302,Gaia DR3 195683657808347520,195683657808347520,8.2033587707E+01,4.3393779471E+01,1743106200029161,82.0335879,43.3937942,1743,6,2,zg,45,36,70,58,1.259500E+01,2.700000E-02,2.195338E-07,1.028889,2.606186E-02,1.259086E+01,1.357841E-02,1.253999E+01,0.01956611,1.247949E+01
2549,4.799042,-85.691096,Gaia DR3 196113364993817088,196113364993817088,8.6738606304E+01,4.3537230756E+01,704315200041379,86.7367726,43.5373309,704,15,2,zi,0,0,0,0,1.495400E+01,1.350000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2550,5.547470,-87.262078,Gaia DR3 195365594010029440,195365594010029440,8.1817322527E+01,4.2296401711E+01,703310100062325,81.8152416,42.2964753,703,10,1,zi,0,0,0,0,1.571900E+01,2.030000E-01,2.570000E-322,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2551,5.420838,-113.008690,Gaia DR3 195474273863568000,195474273863568000,8.2353673297E+01,4.3116509084E+01,703114400036773,82.3517746,43.1159205,703,14,4,zg,1,1,1,1,1.530400E+01,1.890000E-01,0.000000E+00,0.0,null,1.679838E+01,0.000000E+00,1.679838E+01,0.01646536,1.679838E+01
2552,3.583630,167.540351,Gaia DR3 195162390516780672,195162390516780672,7.9314063252E+01,4.2010882208E+01,1743203200056351,79.3143523,42.0099102,1743,3,2,zr,2,0,2,0,1.618100E+01,2.080000E-01,2.731187E-08,0.0,1.849336E-02,1.330884E+01,0.000000E+00,1.329576E+01,0.009674365,1.328268E+01
2553,6.571160,46.384201,Gaia DR3 195168059873633152,195168059873633152,7.9459400995E+01,4.1867755071E+01,703311100071595,79.4611756,41.8690142,703,11,1,zi,0,0,0,0,1.741800E+01,1.920000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2554,5.810033,128.271829,Gaia DR3 195168712708586880,195168712708586880,7.9594818094E+01,4.1934997750E+01,1743103200043505,79.5965213,41.9339981,1743,3,2,zg,0,0,0,0,1.742500E+01,2.590000E-01,6.932878E-310,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2555,6.656136,-86.254664,Gaia DR3 196027701871612672,196027701871612672,8.5582764543E+01,4.3059564952E+01,704316400042765,85.5802394,43.0596857,704,16,4,zi,0,0,0,0,1.419000E+01,6.900000E-02,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2556,4.970118,89.747602,Gaia DR3 195645832035222400,195645832035222400,8.1656342896E+01,4.3019711934E+01,1743106300040574,81.6582312,43.0197180,1743,6,3,zg,0,0,0,0,1.607000E+01,1.070000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2557,4.736279,160.758686,Gaia DR3 209654263006596224,209654263006596224,8.5597034698E+01,4.6694246242E+01,1743113400033469,85.5976668,46.6930041,1743,13,4,zg,0,0,0,0,1.617900E+01,2.330000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2558,7.154847,83.482429,Gaia DR3 208590824807687424,208590824807687424,7.8157294992E+01,4.4435164841E+01,744204400040334,78.1600604,44.4353904,744,4,4,zr,5,5,5,5,1.503000E+01,4.600000E-02,1.306320E-06,45.93344,7.234188E-01,1.624182E+01,4.273691E-01,1.566014E+01,0.01379425,1.442997E+01
2559,null,null,Gaia DR3 208592444014893312,208592444014893312,7.8283639832E+01,4.4566981330E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2560,7.663266,-130.670479,Gaia DR3 3135878458875603840,3135878458875603840,1.1181782934E+02,2.4647258813E+00,1456109100037335,111.8162133,2.4633386,1456,9,1,zg,0,0,0,0,1.521700E+01,6.500000E-02,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2561,null,null,Gaia DR3 176895585371267456,176895585371267456,6.3016026830E+01,3.5359547315E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2562,6.168170,85.065631,Gaia DR3 179857910210462208,179857910210462208,6.8268064726E+01,4.0866415646E+01,1742104300037794,68.2703220,40.8665630,1742,4,3,zg,0,0,0,0,1.565400E+01,8.300000E-02,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2563,null,null,Gaia DR3 2972115552063361280,2972115552063361280,8.3526805864E+01,-1.6013906178E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2564,null,null,Gaia DR3 2971037824509804544,2971037824509804544,8.5422942462E+01,-1.6725802624E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2565,null,null,Gaia DR3 1780599505693111296,1780599505693111296,3.2736194997E+02,2.0462445262E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2566,7.002956,-43.518080,Gaia DR3 1779263530345881984,1779263530345881984,3.2855828965E+02,1.8276506082E+01,1591113200031091,328.5568790,18.2779167,1591,13,2,zg,0,0,0,0,1.795400E+01,1.980000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2567,7.682427,35.876951,Gaia DR3 2175201756328729728,2175201756328729728,3.2659408804E+02,5.6917156583E+01,1836108400050093,326.5963793,56.9188857,1836,8,4,zg,0,0,0,0,1.799700E+01,3.060000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2568,4.834878,97.943705,Gaia DR3 2174743569219972480,2174743569219972480,3.2688006853E+02,5.5334878728E+01,802110400065023,326.8824071,55.3346931,802,10,4,zg,3,3,3,3,1.657700E+01,2.260000E-01,4.681608E-07,0.0,1.351697E-01,1.846676E+01,0.000000E+00,1.841680E+01,0.03913073,1.821169E+01
2569,7.296396,59.130432,Gaia DR3 2174971958400696576,2174971958400696576,3.2572512226E+02,5.5523911729E+01,802310300142918,325.7281956,55.5249516,802,10,3,zi,2,2,2,2,1.626600E+01,1.630000E-01,8.923053E-07,0.0,1.590238E-01,1.800847E+01,0.000000E+00,1.789602E+01,0.02493457,1.778357E+01
2570,6.459799,-128.972570,Gaia DR3 2174785213225684992,2174785213225684992,3.2671172105E+02,5.5335316902E+01,1836104400060006,326.7092684,55.3341883,1836,4,4,zg,0,0,0,0,1.736900E+01,1.230000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2571,6.792425,-53.910528,Gaia DR3 4094435788345837824,4094435788345837824,2.7398640171E+02,-1.9908563814E+01,333204400175395,273.9847801,-19.9074524,333,4,4,zr,0,0,0,0,1.702100E+01,1.430000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2572,9.720977,92.220284,Gaia DR3 4094406002779863680,4094406002779863680,2.7390164400E+02,-2.0367831811E+01,333304400186070,273.9045222,-20.3679364,333,4,4,zi,0,0,3,3,1.680700E+01,1.100000E-01,0.000000E+00,0.0,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.02680268,0.000000E+00
