designation|source_id|ra|dec
Gaia DR3 3125585969186497280|3125585969186497280|101.07774069|0.72265989308
Gaia DR3 3125597681559414784|3125597681559414784|101.05158169|0.72705249778
Gaia DR3 3126750210262228992|3126750210262228992|99.778283041|2.0868118694
Gaia DR3 3125642697115465344|3125642697115465344|101.98860627|0.7761236341
Gaia DR3 3003779524141801088|3003779524141801088|98.251672923|-8.1408199556
Gaia DR3 1934938537001944960|1934938537001944960|345.68811882|44.058723792
Gaia DR3 1936218471616732416|1936218471616732416|346.10529042|46.545175152
Gaia DR3 1936231012921636736|1936231012921636736|346.63733083|46.923601685
Gaia DR3 3351515714403669120|3351515714403669120|103.3491314|12.443375084
Gaia DR3 3352288980320466176|3352288980320466176|100.1480515|12.694829703
Gaia DR3 3352319251249485696|3352319251249485696|99.26903852|12.629411828
Gaia DR3 3352368110795929984|3352368110795929984|101.21343641|12.078123122
Gaia DR3 3352428236037437440|3352428236037437440|101.44559771|12.761088764
Gaia DR3 1998640839106510848|1998640839106510848|354.43095195|57.097939297
Gaia DR3 3352455556325792128|3352455556325792128|100.74797342|12.542430819
Gaia DR3 3352091407522241664|3352091407522241664|99.010833203|11.573413291
Gaia DR3 3352789979664648064|3352789979664648064|101.31074872|13.335932445
Gaia DR3 413396722579537408|413396722579537408|20.210883868|57.438586821
Gaia DR3 413665072135347456|413665072135347456|18.648206189|57.924757411
Gaia DR3 413874254226395008|413874254226395008|19.810256074|58.225857865
Gaia DR3 413874494744555136|413874494744555136|19.930549189|58.246760608
Gaia DR3 413874524796674048|413874524796674048|19.892404219|58.256144098
Gaia DR3 413874735262711040|413874735262711040|19.88021213|58.263820258
Gaia DR3 413875010140633344|413875010140633344|19.785714475|58.237625052
Gaia DR3 413875525536666368|413875525536666368|19.787705297|58.290559896
Gaia DR3 1998228247367811200|1998228247367811200|357.21688037|57.119638202
Gaia DR3 413876311504679168|413876311504679168|19.845894006|58.305622751
Gaia DR3 413876414582276608|413876414582276608|19.899095468|58.320918474
Gaia DR3 1998229690476760832|1998229690476760832|357.22762255|57.209571002
Gaia DR3 412874454554418688|412874454554418688|22.862254716|57.390925045
Gaia DR3 413877380962478336|413877380962478336|19.792785435|58.349189445
Gaia DR3 413879197721080960|413879197721080960|19.637787938|58.375143624
Gaia DR3 412585592237260544|412585592237260544|20.663818532|56.609557386
Gaia DR3 413908648323923968|413908648323923968|19.341922515|58.888195017
Gaia DR3 414313749638696448|414313749638696448|18.232751021|59.917888106
Gaia DR3 414095049903859072|414095049903859072|19.002820004|58.813183711
Gaia DR3 413951769785832960|413951769785832960|21.004305903|58.843377646
Gaia DR3 414329589477805696|414329589477805696|18.158440875|60.312967781
Gaia DR3 413552166034703488|413552166034703488|17.858030625|57.596782152
Gaia DR3 413552784509872896|413552784509872896|17.669138703|57.513830687
Gaia DR3 414116902694527616|414116902694527616|18.424102647|59.099268466
Gaia DR3 412650600857508736|412650600857508736|23.30454826|56.179608784
Gaia DR3 413198535605804928|413198535605804928|21.602357271|58.682897131
Gaia DR3 413820721751076736|413820721751076736|20.547309523|58.289571281
Gaia DR3 413827353180436736|413827353180436736|19.965552239|58.208141867
Gaia DR3 413848381341936768|413848381341936768|19.749693817|58.0995748
Gaia DR3 413851336279382272|413851336279382272|19.725451243|58.201901431
Gaia DR3 414235821750344704|414235821750344704|19.487772065|59.580548542
Gaia DR3 413966544480719104|413966544480719104|20.527060529|58.8801282
Gaia DR3 413979360664668032|413979360664668032|20.104168893|58.567817319
Gaia DR3 413980906852870912|413980906852870912|19.939772657|58.66333385
Gaia DR3 2053659026583025792|2053659026583025792|303.57745423|30.17726872
Gaia DR3 2054022105925767808|2054022105925767808|302.81303816|31.530433942
Gaia DR3 245967524303432192|245967524303432192|60.584418758|47.506615995
Gaia DR3 2196984971452315392|2196984971452315392|310.83989017|63.209109282
Gaia DR3 2197085508046799744|2197085508046799744|312.32243153|64.042239488
Gaia DR3 4139702858161111040|4139702858161111040|257.04781869|-14.44420913
Gaia DR3 5712099829855518976|5712099829855518976|115.80414901|-21.720660424
Gaia DR3 2987577193811407744|2987577193811407744|75.967191886|-14.370214943
Gaia DR3 5712225208539025536|5712225208539025536|116.74639768|-21.16153158
Gaia DR3 5712252219596314368|5712252219596314368|116.69177866|-20.831257939
Gaia DR3 5713071321401501568|5713071321401501568|121.8251195|-20.554339107
Gaia DR3 5712681578888416896|5712681578888416896|118.06955243|-20.552831118
Gaia DR3 5712090728832732288|5712090728832732288|116.08751219|-21.750927004
Gaia DR3 5712094130448056704|5712094130448056704|116.11845837|-21.61030171
Gaia DR3 5712956628595273984|5712956628595273984|120.92471066|-20.777073321
Gaia DR3 4103725532137960192|4103725532137960192|278.77372152|-14.330599687
Gaia DR3 3289656915346252032|3289656915346252032|72.515045068|8.407826371
Gaia DR3 3294189617670139520|3294189617670139520|69.083832927|10.661785235
Gaia DR3 2241523301274700416|2241523301274700416|295.64649022|64.030136471
Gaia DR3 2242271072260536832|2242271072260536832|295.08038101|64.061832153
Gaia DR3 3133582270580154240|3133582270580154240|100.90052203|7.2467106791
Gaia DR3 3133243380480347776|3133243380480347776|102.53856392|7.2832487241
Gaia DR3 3133269768759160832|3133269768759160832|102.55082916|7.5863140012
Gaia DR3 3132898713644663296|3132898713644663296|102.60306427|6.574807447
Gaia DR3 3134006269751081728|3134006269751081728|101.68854833|7.8943383346
Gaia DR3 3134316568248821760|3134316568248821760|99.89291474|8.3503729163
Gaia DR3 3133709642130433664|3133709642130433664|99.549376169|7.1482262846
Gaia DR3 3133325672052624000|3133325672052624000|102.43780616|7.8452346042
Gaia DR3 3133333364333880832|3133333364333880832|102.13431774|7.8074734182
Gaia DR3 3133341340092960256|3133341340092960256|102.15964059|7.9414325632
Gaia DR3 3132805259455357696|3132805259455357696|100.96980292|6.9134579232
Gaia DR3 3133506369917164160|3133506369917164160|99.699681669|6.9018860913
Gaia DR3 4542408715637413888|4542408715637413888|261.63971894|13.942366727
Gaia DR3 3449328509329750272|3449328509329750272|84.462271242|33.967216657
Gaia DR3 3449368534126929408|3449368534126929408|85.090362718|34.109872444
Gaia DR3 3450980697349294848|3450980697349294848|88.318737677|32.179582576
Gaia DR3 3451045426797531904|3451045426797531904|89.220518433|32.472694287
Gaia DR3 3449912590522389120|3449912590522389120|90.776768532|31.052281609
Gaia DR3 3450254332479424128|3450254332479424128|89.576627032|31.847314817
Gaia DR3 3449518587403714432|3449518587403714432|84.065830519|34.143493683
Gaia DR3 3451167305090157568|3451167305090157568|87.978228351|32.239743214
Gaia DR3 488401076493662592|488401076493662592|54.885762043|64.80502818
Gaia DR3 487546103123764736|487546103123764736|52.163300358|62.493000248
Gaia DR3 1160317472650349056|1160317472650349056|226.09343852|6.499671656
Gaia DR3 4201350963313323904|4201350963313323904|289.93478448|-9.0094374215
Gaia DR3 4533643649473060736|4533643649473060736|286.48185949|24.794055871
Gaia DR3 2927469263952955008|2927469263952955008|106.59626499|-23.607114956
Gaia DR3 2927919754482160000|2927919754482160000|108.45158531|-22.905763014
Gaia DR3 2927969881041212672|2927969881041212672|108.50057008|-22.522456759
Gaia DR3 2927568666677534720|2927568666677534720|107.0616137|-23.431685149
Gaia DR3 2927999365998649728|2927999365998649728|107.75721662|-22.53079867
Gaia DR3 2927835126448305536|2927835126448305536|106.67094033|-22.846223955
Gaia DR3 2927382883569264640|2927382883569264640|107.20582518|-24.043776589
Gaia DR3 2927865740977318144|2927865740977318144|106.52554201|-22.461232722
Gaia DR3 2927406797947014400|2927406797947014400|107.18524437|-23.775139486
Gaia DR3 2007440058871856768|2007440058871856768|341.66764035|58.295531976
Gaia DR3 2007158893133714048|2007158893133714048|342.0883247|57.549583329
Gaia DR3 2007300764495325440|2007300764495325440|340.04432211|57.611330969
Gaia DR3 2007472288307412480|2007472288307412480|342.57759828|58.660479946
Gaia DR3 2007597529557430912|2007597529557430912|337.50314199|57.018495012
Gaia DR3 2007056707275248640|2007056707275248640|341.45178929|57.330960139
Gaia DR3 2007489811774210304|2007489811774210304|336.86490869|56.181737763
Gaia DR3 2007494038022005248|2007494038022005248|336.82421762|56.253257378
Gaia DR3 2007614640707006976|2007614640707006976|337.57790165|57.225430602
Gaia DR3 2007218988315753984|2007218988315753984|340.0912833|56.989660703
Gaia DR3 2007363058696077952|2007363058696077952|341.63855917|57.797291114
Gaia DR3 2007372095307619840|2007372095307619840|342.06766717|58.013195499
Gaia DR3 2007524686909526656|2007524686909526656|337.58615702|56.507424268
Gaia DR3 2007528019804344960|2007528019804344960|337.59101318|56.585287269
Gaia DR3 2007235927671007488|2007235927671007488|341.01807277|57.177237654
Gaia DR3 2007239947757306880|2007239947757306880|340.96924091|57.251672776
Gaia DR3 2007639272324103552|2007639272324103552|337.85664894|56.916255633
Gaia DR3 2007533311203798784|2007533311203798784|337.29308114|56.567229202
Gaia DR3 2007534376355668736|2007534376355668736|337.23648627|56.60322945
Gaia DR3 2007245617114182016|2007245617114182016|341.3490918|57.390179356
Gaia DR3 2007396971758818560|2007396971758818560|342.4309585|58.184718747
Gaia DR3 2007248915648999040|2007248915648999040|341.33517647|57.432296095
Gaia DR3 2007115496783171200|2007115496783171200|342.82906092|57.422568671
Gaia DR3 2007402228799150720|2007402228799150720|342.86081644|58.29675125
Gaia DR3 2007260185643050624|2007260185643050624|341.17665823|57.454921324
Gaia DR3 2007413567513411712|2007413567513411712|341.32438273|57.880199265
Gaia DR3 2007550044397250432|2007550044397250432|336.32611316|56.29029246
Gaia DR3 2007416556811088768|2007416556811088768|341.72543972|58.084304993
Gaia DR3 2007418961992863744|2007418961992863744|341.96077169|58.0867561
Gaia DR3 2007661404309148416|2007661404309148416|338.7463765|57.229421133
Gaia DR3 2007422879002917632|2007422879002917632|341.8022868|58.144774464
Gaia DR3 2007423050801646720|2007423050801646720|341.9133163|58.15903508
Gaia DR3 2007423256960035072|2007423256960035072|341.83203841|58.161914417
Gaia DR3 2007135459792401408|2007135459792401408|341.93901022|57.280765407
Gaia DR3 1829931156484142720|1829931156484142720|302.05531381|22.10556118
Gaia DR3 3107193888434315520|3107193888434315520|101.94962059|-0.84857114436
Gaia DR3 3107213679645427072|3107213679645427072|100.80555686|-1.5167168405
Gaia DR3 3107547347067366400|3107547347067366400|107.19996778|-4.0574555284
Gaia DR3 3106995048629290368|3106995048629290368|100.98811886|-1.9209014519
Gaia DR3 1930451189530028416|1930451189530028416|346.79445307|41.092931321
Gaia DR3 3107590949577004288|3107590949577004288|106.87353153|-4.0986685625
Gaia DR3 1932229409071269248|1932229409071269248|341.5467617|40.107297758
Gaia DR3 2068900388034374912|2068900388034374912|306.48510971|42.68618845
Gaia DR3 1824071957780155904|1824071957780155904|295.29753462|17.857266715
Gaia DR3 2068345478256426368|2068345478256426368|305.35759073|41.194297199
Gaia DR3 2068355713159146112|2068355713159146112|304.84045366|40.887877855
Gaia DR3 1824001215430918784|1824001215430918784|295.60328496|17.5220764
Gaia DR3 4124303197080732160|4124303197080732160|262.80345671|-17.142140927
Gaia DR3 4146599166888812032|4146599166888812032|274.65017505|-13.793464936
Gaia DR3 4146472650032316544|4146472650032316544|274.00954764|-14.305899026
Gaia DR3 4146264125100347520|4146264125100347520|274.06329139|-14.644910335
Gaia DR3 4146126887984301184|4146126887984301184|274.20211259|-15.655228627
Gaia DR3 4146140945434017152|4146140945434017152|274.28113509|-15.399122742
Gaia DR3 436867408876033024|436867408876033024|41.838302125|45.270036874
Gaia DR3 1827032225368532480|1827032225368532480|300.34042755|22.290517951
Gaia DR3 1826856440946305024|1826856440946305024|299.24438322|21.330457357
Gaia DR3 1827037654207752320|1827037654207752320|300.00004135|22.247902878
Gaia DR3 1827066894309530496|1827066894309530496|299.13087941|21.74215153
Gaia DR3 2051435363079038976|2051435363079038976|293.02700113|36.361181173
Gaia DR3 2051495084612837504|2051495084612837504|292.15895905|36.779152105
Gaia DR3 454818035714964992|454818035714964992|40.298645125|56.730493096
Gaia DR3 455260417342579200|455260417342579200|33.469553139|53.123589469
Gaia DR3 454837075308505088|454837075308505088|40.965691571|56.991430344
Gaia DR3 455960604396858496|455960604396858496|35.211987625|55.327597816
Gaia DR3 454846489876889216|454846489876889216|40.71675802|56.904558182
Gaia DR3 455643841968246016|455643841968246016|36.055484339|54.190925728
Gaia DR3 455989226058592128|455989226058592128|35.214185971|55.825365306
Gaia DR3 455706548490983808|455706548490983808|36.485851412|55.008673012
Gaia DR3 455746440145291904|455746440145291904|35.377100256|54.183949261
Gaia DR3 455390949988697984|455390949988697984|33.46595809|53.914584475
Gaia DR3 455426276100731136|455426276100731136|33.758567437|54.287279971
Gaia DR3 456246752293343232|456246752293343232|33.056002359|54.638329747
Gaia DR3 456262038077464064|456262038077464064|32.406737768|54.881824522
Gaia DR3 454781584331773312|454781584331773312|41.052985013|56.657561725
Gaia DR3 1803214157780785152|1803214157780785152|303.51004194|12.691075953
Gaia DR3 1803230238138367104|1803230238138367104|303.28159423|12.761669959
Gaia DR3 1803528961706762368|1803528961706762368|303.14431046|13.495059799
Gaia DR3 2055160993836759808|2055160993836759808|301.64751184|32.999516183
Gaia DR3 2055086050926193792|2055086050926193792|301.99139501|32.586327602
Gaia DR3 2055407593670491008|2055407593670491008|303.36698984|33.382606821
Gaia DR3 2055322587671674240|2055322587671674240|302.29907368|33.919933463
Gaia DR3 1943939723305311872|1943939723305311872|357.01260798|50.302891162
Gaia DR3 1942738816090384000|1942738816090384000|350.01376324|49.611112085
Gaia DR3 3095637127870898688|3095637127870898688|119.68821194|5.6232608029
Gaia DR3 514758809760897536|514758809760897536|33.629021274|63.422981364
Gaia DR3 3095905821023451008|3095905821023451008|121.19937145|6.1860562231
Gaia DR3 514124013591624064|514124013591624064|39.075920659|62.948153218
Gaia DR3 513965507813056384|513965507813056384|35.181699352|63.195732932
Gaia DR3 514872025095936512|514872025095936512|31.535652505|63.369946574
Gaia DR3 514204587181571328|514204587181571328|37.949239143|63.417416495
Gaia DR3 513993584023087872|513993584023087872|37.633705524|62.289427497
Gaia DR3 514220667538693888|514220667538693888|38.798177758|63.584182966
Gaia DR3 4460808150944509056|4460808150944509056|247.45243272|14.261909789
Gaia DR3 4215715429887287168|4215715429887287168|303.51403553|-8.2229635027
Gaia DR3 4288274362563352448|4288274362563352448|293.29763024|1.9455301258
Gaia DR3 2035498045115239424|2035498045115239424|298.44708976|34.58381744
Gaia DR3 4520368592770652160|4520368592770652160|288.13795589|22.355937759
Gaia DR3 4203105268550406912|4203105268550406912|282.74296429|-9.8273878691
Gaia DR3 4520575781983051776|4520575781983051776|285.32397586|21.51383196
Gaia DR3 2032684811511079936|2032684811511079936|293.98071307|30.278326935
Gaia DR3 2032585580589627392|2032585580589627392|293.3524352|29.960456718
Gaia DR3 4123494716824442880|4123494716824442880|264.41289411|-17.826983123
Gaia DR3 4308303654841034240|4308303654841034240|291.6401208|9.0048948182
Gaia DR3 4383710803623170432|4383710803623170432|250.11338503|0.25484738873
Gaia DR3 4382345695515446016|4382345695515446016|249.97005598|-1.162751699
Gaia DR3 2173276717631168000|2173276717631168000|324.82298074|52.362453524
Gaia DR3 3406590286197846400|3406590286197846400|74.228872048|18.096297857
Gaia DR3 2173753905676871040|2173753905676871040|329.62399396|54.484870543
Gaia DR3 3404525334641915136|3404525334641915136|83.390028345|23.342263179
Gaia DR3 3403699876288039936|3403699876288039936|82.58092898|21.591677553
Gaia DR3 3408261165914697344|3408261165914697344|75.11230842|19.184880332
Gaia DR3 2093381220584181248|2093381220584181248|282.45779151|35.761977621
Gaia DR3 347218835681961344|347218835681961344|25.145172119|40.576945558
Gaia DR3 4094748225771616256|4094748225771616256|273.30845302|-19.037055604
Gaia DR3 4094749183519500544|4094749183519500544|273.57076108|-19.068979891
Gaia DR3 2093534465017435776|2093534465017435776|283.13403444|36.580039501
Gaia DR3 4094684694612074240|4094684694612074240|273.8790657|-19.299727218
Gaia DR3 4094773819455374336|4094773819455374336|274.35284299|-19.086025797
Gaia DR3 4094727983560949632|4094727983560949632|273.39656719|-19.291771957
Gaia DR3 4094730805383871744|4094730805383871744|273.51587682|-19.169017333
Gaia DR3 4091549540332651392|4091549540332651392|278.5861671|-21.553713824
Gaia DR3 4094739567117158912|4094739567117158912|273.68106197|-19.016418361
Gaia DR3 2197837127336168448|2197837127336168448|330.01942239|55.01974695
Gaia DR3 2198165846954190592|2198165846954190592|329.45518799|56.207483127
Gaia DR3 1994517464344910336|1994517464344910336|355.43494485|55.478753703
Gaia DR3 1994552957956073344|1994552957956073344|356.47940587|54.735385803
Gaia DR3 1994367106130515328|1994367106130515328|354.11497914|54.679566091
Gaia DR3 1994728226979682688|1994728226979682688|359.40534642|55.858611985
Gaia DR3 1994779560430525184|1994779560430525184|359.1039888|55.990349852
Gaia DR3 2037306711690221312|2037306711690221312|285.32495274|28.412011732
Gaia DR3 2037308360956406272|2037308360956406272|285.45390975|28.370559935
Gaia DR3 2237387247768853504|2237387247768853504|300.17127713|60.485121377
Gaia DR3 506096582274786432|506096582274786432|28.485334177|57.538030785
Gaia DR3 2239721717111253504|2239721717111253504|289.0582471|60.132847791
Gaia DR3 505330944226962304|505330944226962304|29.461033731|57.453512836
Gaia DR3 506352115651984896|506352115651984896|28.928564841|59.273442777
Gaia DR3 506131629208887424|506131629208887424|28.802400891|57.897633365
Gaia DR3 506380874748957568|506380874748957568|27.145952567|58.457832396
Gaia DR3 506174441445176192|506174441445176192|28.184217443|58.197360071
Gaia DR3 505940035002966400|505940035002966400|24.914469614|57.829792714
Gaia DR3 1110423048027910528|1110423048027910528|113.26587966|70.41867141
Gaia DR3 2239188728850416896|2239188728850416896|294.05138027|60.393412419
Gaia DR3 506205365209003264|506205365209003264|28.057149348|58.435086295
Gaia DR3 505962716733374848|505962716733374848|26.803040817|57.744979332
Gaia DR3 505970585113541760|505970585113541760|26.149808605|57.704065716
Gaia DR3 505442922614875136|505442922614875136|30.683667828|58.11710335
Gaia DR3 505223432606929024|505223432606929024|31.973702579|57.712630229
Gaia DR3 505494152986686848|505494152986686848|30.293761928|58.203500489
Gaia DR3 506280509955705600|506280509955705600|29.767826834|58.942844632
Gaia DR3 506294391290013952|506294391290013952|29.43023311|58.954542467
Gaia DR3 505525042390978560|505525042390978560|29.950352893|58.690270574
Gaia DR3 506082322984893184|506082322984893184|25.573868327|58.627704837
Gaia DR3 505300054821278080|505300054821278080|30.400276383|57.551628519
Gaia DR3 4096868771398796032|4096868771398796032|276.31450992|-17.51863942
Gaia DR3 4096856573730053120|4096856573730053120|277.40785402|-16.641456266
Gaia DR3 4096860387686657152|4096860387686657152|277.74512565|-16.573474437
Gaia DR3 3032060410619922304|3032060410619922304|108.58276326|-15.39544387
Gaia DR3 3032065667663408768|3032065667663408768|108.49052372|-15.289420049
Gaia DR3 3032535365282867968|3032535365282867968|108.73839184|-13.700281512
Gaia DR3 3032077384330807168|3032077384330807168|108.33671174|-15.29314598
Gaia DR3 1808137014947486208|1808137014947486208|300.82224777|16.31192771
Gaia DR3 3032142324237844864|3032142324237844864|107.61544481|-15.082872957
Gaia DR3 3032377276127115008|3032377276127115008|108.13563201|-14.491822816
Gaia DR3 3032379303351691264|3032379303351691264|108.07148903|-14.457224005
Gaia DR3 3032391329260326272|3032391329260326272|107.72691464|-14.357279001
Gaia DR3 3032161737491177728|3032161737491177728|108.25463845|-14.883988696
Gaia DR3 3032203587650123520|3032203587650123520|109.03292653|-14.793992478
Gaia DR3 3031534775343697920|3031534775343697920|111.54299899|-15.087213951
Gaia DR3 3032042337401100800|3032042337401100800|111.16341479|-13.418683672
Gaia DR3 3032054981781572736|3032054981781572736|108.18947151|-15.501779548
Gaia DR3 3031571677705038080|3031571677705038080|110.91805967|-15.052823627
Gaia DR3 3031578785863502848|3031578785863502848|110.49057177|-15.085524746
Gaia DR3 4482744473072001024|4482744473072001024|271.55601775|10.402923536
Gaia DR3 1239086696118147712|1239086696118147712|217.9981548|18.766808105
Gaia DR3 4483095801397766272|4483095801397766272|272.46006316|10.774035027
Gaia DR3 1842409788802009472|1842409788802009472|312.26525546|23.71253866
Gaia DR3 1843201918212416768|1843201918212416768|310.42421462|24.182461888
Gaia DR3 3356250108395606784|3356250108395606784|99.775632821|15.133011209
Gaia DR3 2061664119757977344|2061664119757977344|303.08607659|38.002076507
Gaia DR3 2061666013858471296|2061666013858471296|303.09662947|38.063946398
Gaia DR3 2061673607360681088|2061673607360681088|303.1991469|38.227641924
Gaia DR3 2061531358019903360|2061531358019903360|302.3217226|37.502169449
Gaia DR3 3356355794654190464|3356355794654190464|97.615727858|13.905111303
Gaia DR3 2061534759661641600|2061534759661641600|302.63967467|37.562486426
Gaia DR3 2061690233159124352|2061690233159124352|303.02721308|38.354910367
Gaia DR3 3356755643227139584|3356755643227139584|96.815740073|14.889223502
Gaia DR3 2061623339071210752|2061623339071210752|302.07973001|38.130647526
Gaia DR3 3356456782219127552|3356456782219127552|97.766824954|14.138451526
Gaia DR3 2061703740852988928|2061703740852988928|303.3708651|38.479417496
Gaia DR3 2061405257789262080|2061405257789262080|304.88050841|39.05726453
Gaia DR3 3188034480132770560|3188034480132770560|73.563624109|-6.5870933312
Gaia DR3 3356526463771374208|3356526463771374208|97.346591883|14.37864091
Gaia DR3 3177730441273211008|3177730441273211008|67.278858811|-13.048372355
Gaia DR3 2061426663907123584|2061426663907123584|305.75623013|39.34457704
Gaia DR3 3356599340777616384|3356599340777616384|96.425274728|14.09268002
Gaia DR3 3888465791238438400|3888465791238438400|155.44605345|15.534343682
Gaia DR3 4300465064604811648|4300465064604811648|300.50734792|10.155420041
Gaia DR3 4300560683451133440|4300560683451133440|302.15950813|10.725860293
Gaia DR3 4301041036913485312|4301041036913485312|294.97282279|7.9539064886
Gaia DR3 4301042514382306688|4301042514382306688|294.91780551|8.0114098875
Gaia DR3 4098496559669227264|4098496559669227264|281.83473379|-18.262946068
