source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
2952751331235192704,451927909,102.31608377979741,-12.667904858288326,1.8032557549242918,0.027139384,66.44424,-7.883683507391685,0.024847118,2.9747374571456544,0.027380632,31,,,0,0,1.1353819,844.37256,7.1754537,349.40546,7.273268,349.68832,6.927427,1.1917008,0.3458414,,,,,,,VARIABLE,224.0063055568014,-6.213420402815013,true,false,0,true,true,false,true,false,true,true,false,12713.572,3.3628,0.2688,518.9096,1.0439,0.5642,548.0715,538.2922,556.11816
2952166287970776064,458948069,101.51609430547839,-13.838189108733687,0.7133664298155443,0.033822205,21.09166,-2.850426863778467,0.034127176,2.111604074794731,0.03411116,31,,,0,0,1.5100809,2986.0696,9.01839,1401.3474,9.070817,1572.1749,8.87225,1.1726123,0.19856739,,,,,,,VARIABLE,224.71475380353002,-7.430420871430287,false,false,0,true,true,false,true,false,true,true,false,17185.107,3.6558,0.0064,1296.3682,0.8775,0.4744,1351.1696,1226.3021,1430.6268
2952510641268192256,1696808479,100.66560396436479,-12.944849896797736,0.141503548765715,0.02233892,6.3343954,-0.442047332716752,0.020394081,0.9345773077171337,0.02262801,31,,,0,0,1.220868,202.89561,11.329426,105.52568,11.490802,58.336105,11.0375,1.175842,0.45330143,,,,,,,VARIABLE,223.5377125836979,-7.778866237352059,true,false,0,true,true,false,true,false,true,true,false,19966.768,3.6665,0.4204,4174.3423,1.388,0.756,5459.9585,4830.103,7194.3174
2951938139307913728,839998736,97.64534370455499,-13.14816854331289,2.158378693784691,0.058303002,37.020027,-3.2893942459643126,0.049521536,1.1534842683083668,0.061238766,31,,,0,0,1.0282509,1571.4924,6.119611,548.89905,6.0354276,974.11554,6.2427177,1.1594986,-0.20729017,,,,,,,VARIABLE,222.42108617872563,-10.514419075278415,false,false,0,true,true,false,true,false,true,true,false,16815.025,3.6288,0.4339,520.058,0.1105,0.0596,466.53946,451.6957,480.7645
2027938941367462144,1210191223,297.9697977814023,27.417379555707697,0.19776893903275305,0.01766636,11.194662,-2.6319450075711197,0.01413481,-5.854768096681915,0.018327037,31,,,0,0,1.0997564,282.0521,11.216278,97.223564,11.560931,96.3077,10.679879,1.2178454,0.881052,,,,,,,VARIABLE,63.951423771998016,0.23062073210698156,false,false,0,true,true,false,true,false,true,true,false,17495.164,3.4421,0.1131,2858.6643,2.1451,1.1722,4285.008,3947.5605,4643.0557
2028000853284283904,1124384041,297.60175239156666,27.46547960759921,0.2210278590619988,0.014543944,15.197244,-3.214094343951592,0.011151793,-6.003687239984966,0.013116597,31,,,38,0,0.9866856,383.99036,10.8953,102.358795,11.045042,107.65122,10.393835,1.2998224,0.651207,,,,,,,VARIABLE,63.82609394956268,0.5360652320869769,false,false,0,true,true,false,true,false,false,true,false,6190.587,2.5084,-1.7792,2633.5554,0.1042,0.0568,4069.9646,3828.6392,4378.438
2049132405932583680,815710907,295.346762429982,38.45794835201695,0.9182610665332381,0.034673568,26.483028,0.030144342915525035,0.037268426,-3.005779742341222,0.03578774,95,1.7459679,0.008712963,0,0,0.9453918,1668.3567,7.5670753,633.0239,7.562594,831.5358,7.5372252,1.1608845,0.02536869,-14.584707,10.798143,21,294.34454,77.16056,0.0,VARIABLE,72.45360643341205,7.637486103963658,false,false,0,true,true,false,true,false,false,true,false,,,,,,,1058.7009,1013.1718,1096.7592
1864999220843139840,1231604409,314.8796796873641,32.19645201510884,0.5793129736798811,0.022334458,25.93808,-1.9497131728151411,0.018091904,-2.2504921408605303,0.023346756,31,,,0,0,0.94429225,3717.7292,9.345343,1316.4125,9.314464,1824.9165,9.363664,1.1600308,-0.049200058,,,,,,,VARIABLE,76.34500436901104,-8.995960913756564,false,false,0,true,true,false,true,false,false,true,false,,,,,,,1697.7717,1632.2189,1771.9562
355272792716015616,248165020,35.84834747874197,49.03204522922206,0.35859297692421427,0.04787414,7.490327,-0.5038372128429223,0.045857936,-3.0138898027132317,0.0529714,95,1.7698879,0.010208082,0,0,0.993005,1488.453,8.719272,679.1355,8.65478,891.0784,8.8043785,1.1587992,-0.14959812,,,,,,,VARIABLE,138.05894483689468,-11.120002576385586,false,false,0,true,true,false,true,false,true,true,false,19870.17,3.8411,0.597,1516.893,0.3647,0.1973,2466.125,2217.129,2760.481
1845911110565337472,721013198,313.593314363674,28.521972959407023,1.1732261686637109,0.05469081,21.451979,0.5670653651542719,0.050136436,-5.520140911615002,0.04902139,31,,,0,0,1.0678811,333.47015,6.5467987,105.00823,6.4545465,115.14272,6.655295,1.170436,-0.20074844,,,,,,,VARIABLE,72.75340823213979,-10.480325399206361,false,false,0,true,true,false,true,false,true,true,false,16806.775,3.4205,0.5792,871.3004,0.1029,0.0555,828.81354,792.5063,857.96313
