Name,RA,Dec,Class,Gmag
TYC 3740-1791-1,67.04064215,56.98449308,EM,10.764656
TYC 2670-214-1,299.6086428,31.81163798,EM,11.336642
WISE J194127.64+385155.3,295.3652061,38.86536427,Cool,12.327266
WISE J185608.58-163255.1,284.0357576,-16.54867009,Cool,12.038886
TYC 2917-929-1,81.08166952,42.60381641,Hot,8.792342
TYC 4823-1194-1,107.9407765,-4.13713659,Hot,8.107479
