Name	RA	Dec	Class	Gmag
TYC 3740-1791-1	4:28:09.7541	56:59:04.1751	EM	10.764656
TYC 2670-214-1	19:58:26.0743	31:48:41.8967	EM	11.336642
WISE J194127.64+385155.3	19:41:27.6495	38:51:55.3114	Cool	12.327266
WISE J185608.58-163255.1	18:56:08.5818	-16:32:55.2123	Cool	12.038886
TYC 2917-929-1	5:24:19.6007	42:36:13.7391	Hot	8.792342
TYC 4823-1194-1	7:11:45.7864	-4:08:13.6917	Hot	8.107479
